Run,Run2,CS,F,D,MRR,Ra,Ry,Rz,Rq,Rt,Rsm,PC1,PC2,PC3,PC4
10,15,220,0.15,0.15,4.95,0.1900,1.4950,1.0200,0.2467,2.1383,53.8333,-1.0589,-1.5987,1.6141,1.6682
1,1,200,0.1,0.1,2,0.1500,1.1108,0.7667,0.1867,1.5467,95.3333,-11.376,2.5617,-1.1763,-1.3337
2,2,240,0.1,0.1,2.4,0.1417,1.0225,0.7425,0.1775,1.2858,78.5833,-10.296,-0.38349,2.9277,-1.5305
3,3,200,0.2,0.1,4,0.4700,2.4833,1.8917,0.5575,3.0317,190.3333,-0.98251,2.2973,-3.8387,-0.26683
4,5,200,0.1,0.2,4,0.1900,1.3167,0.9467,0.2325,1.8050,69.5000,-4.6139,1.9298,-1.4542,2.2139
5,6,240,0.1,0.2,4.8,0.1475,1.1058,0.7633,0.1858,1.6250,82.0000,-6.5067,0.95411,2.2629,-0.69652
6,8,240,0.2,0.2,9.6,0.5200,2.9400,2.2075,0.6225,3.5400,193.2500,12.416,8.0643,1.4329,-0.33014
7,9,186.3641434,0.15,0.15,4.193193226,0.2525,1.5858,1.0650,0.3075,2.1250,139.9167,4.9691,-5.0837,-1.7871,-0.30255
8,12,220,0.234089642,0.15,7.72495817,0.5117,2.5542,2.0100,0.5975,2.9175,209.9167,10.476,-5.4309,-0.82047,-1.4445
9,14,220,0.15,0.234089642,7.72495817,0.2658,1.7733,1.2400,0.3267,2.4025,78.0833,8.6994,-3.4724,0.40739,0.77732
10,15,220,0.15,0.15,4.95,0.1900,1.5067,1.0275,0.2492,2.1750,53.0833,-1.568,-1.9791,0.87014,1.6398
1,1,200,0.1,0.1,2,0.1500,1.0917,0.7575,0.1825,1.5558,89.5000,-11.862,2.4086,-0.98577,-0.66608
2,2,240,0.1,0.1,2.4,0.1408,1.0367,0.7442,0.1758,1.3442,76.0000,-10.512,-0.23793,2.8018,-1.4748
3,3,200,0.2,0.1,4,0.4700,2.4683,1.9191,0.5583,2.9850,190.0000,-3.8521,2.0288,-3.6112,0.10992
4,5,200,0.1,0.2,4,0.1800,1.2950,0.9342,0.2317,1.7658,66.5833,-4.0556,2.5986,-1.6525,4.4806
5,6,240,0.1,0.2,4.8,0.1467,1.0467,0.7542,0.1817,1.3675,83.9167,-6.9449,0.6736,1.2053,0.5081
6,8,240,0.2,0.2,9.6,0.5100,2.8900,2.1900,0.6183,3.4167,194.5833,19.582,8.5276,1.2763,0.64237
7,9,186.3641434,0.15,0.15,4.193193226,0.2575,1.8975,1.1875,0.3250,2.6450,123.4167,1.3348,-4.454,-2.1219,0.42561
8,12,220,0.234089642,0.15,7.72495817,0.5125,2.5492,2.0233,0.5992,2.9233,211.9167,12.422,-5.7507,-0.36557,-1.9224
9,14,220,0.15,0.234089642,7.72495817,0.2658,1.7958,1.2400,0.3292,2.4975,78.8333,7.8789,-3.6774,0.84523,0.32544
10,15,220,0.15,0.15,4.95,0.1900,1.5042,1.0225,0.2467,2.2158,53.7500,-2.7184,-1.5532,0.59336,1.398
1,1,200,0.1,0.1,2,0.1300,0.9933,0.7342,0.1708,1.3058,82.7500,-12.169,2.4368,-1.6248,-1.146
2,2,240,0.1,0.1,2.4,0.1783,1.2683,0.8933,0.2200,1.6117,85.9167,-11.029,-0.50511,2.4785,-1.0083
3,3,200,0.2,0.1,4,0.4500,2.4850,1.8933,0.5433,3.2500,164.8333,-4.4828,1.4139,-2.8185,-0.16319
4,5,200,0.1,0.2,4,0.1900,1.2767,0.9433,0.2317,1.6117,65.4167,-4.8056,2.9381,-1.9206,6.5666
5,6,240,0.1,0.2,4.8,0.1792,1.3583,0.9492,0.2283,2.0575,74.3333,-6.6841,1.0144,1.5463,0.21869
6,8,240,0.2,0.2,9.6,0.5200,2.8133,2.2200,0.6275,3.2508,198.8333,-12.135,0.94311,3.4224,-1.0305
7,9,186.3641434,0.15,0.15,4.193193226,0.2400,1.7717,1.2692,0.3192,3.4925,119.5833,1.5567,-4.1205,-1.2062,1.3253
8,12,220,0.234089642,0.15,7.72495817,0.4983,2.6050,2.0517,0.5858,3.0408,208.0833,10.124,-4.4428,0.78223,-1.3564
9,14,220,0.15,0.234089642,7.72495817,0.2542,1.7750,1.2883,0.3158,2.4667,71.0000,7.1528,-3.0891,1.1635,-0.60319
10,15,220,0.15,0.15,4.95,0.1800,1.5033,1.0408,0.2408,2.3742,69.2500,-3.7096,-1.0602,1.054,1.1224
1,1,200,0.1,0.1,2,0.1400,0.9742,0.7350,0.1667,1.2742,81.0000,-12.381,2.453,-0.62426,-0.67179
2,2,240,0.1,0.1,2.4,0.1767,1.2308,0.8783,0.2175,1.5883,84.0833,-10.907,-0.2006,3.085,-1.3064
